ONET KSA	Count
analog multimeters	1
dig	3961
route cases	1
cutting blades	9
desktop computers	110
soccer balls	6
infor xa	8
tapping machines	1
saba centra	1
solidworks cad software	27
air lifts	2
computer graphics software	3
dental charting software	3
micro welding equipment	8
heating boilers	4
protective goggles	2
corel painter	8
graphics software	214
communication boards	1
zend framework	171
sap software	808
delivery vans	1
soldering machines	2
workflow software	36
headphones	22
binding machines	4
datatel colleague	2
battery analyzers	25
jib hoists	2
myspace	2466
computer records systems	1
reporting software	320
crowbars	2
curing ovens	1
hydraulic cranes	3
ph meters	22
production planning software	6
footballs	4
techsmith snagit	20
pick software	10
ibm cognos	128
ultraviolet spectrophotometers	1
scheme	779
automated filing systems	1
disks	34
surround sound systems	200
network storage arrays	3
practice management software pms	4
seismic interpretation software	1
editing software	258
soldering irons	46
data warehouse software	1
gas consoles	159
pipe benders	8
levels	106857
r	56514
synopsis design compiler	4
vmware workstation	15
pigs	48
samba	47
laser cutting machines	12
jigsaws	3
polishing wheels	15
tweezers	59
date stamps	1
oil furnaces	4
harvesters	255
graphics editing software	4
somat edaq	9
fumigation equipment	1
time reporting software	1
microsoft visual sourcesafe	5
communications boards	1
mcafee virusscan	5
steel toes boots	3
massage chairs	2
emergency generators	28
overhead hoists	3
equest	38
polarimeters	3
packet sniffers	13
play structures	5
paint booths	73
database reporting software	1
simulation software	213
microsoft internet information service iis	3
needles	142
multi axis mills	3
diagramming software	7
hydraulic excavators	5
rockwell software	91
oracle pl sql	1889
radar systems	25
dishwashing machines	8
bioreactor design	1
database software	1670
time sharing	5
logic probes	3
microsoft sql server integration services ssis	3
coordinate measuring machines cmm	17
power sensors	1
common gateway interface cgi	3
bucking bars	5
digital paper	5
trackhoes	3
load balancers	548
pistols	1
ultrasonic cleaning machines	19
manual mills	36
configuration management software	68
paychex preview	12
video screens	39
flow gauges	1
ptc pro intralink	2
pry bars	42
pulse generators	12
electronic comparators	1
heat treating furnaces	4
lapping tools	1
splunk enterprise	2
force gauges	8
power generators	38
tensile testers	5
disaster recovery software	3
applicant tracking software	29
fluorimeters	1
conveyor belts	26
current clamps	1
measuring microscopes	2
manual grinders	1
benelogic	2
javascript	39124
active directory software	2
wind tunnels	10
punches	56
derive	199
agar plates	1
wire strippers	59
receipt printers	3
sample bottles	3
operation monitoring	65
front end loaders	45
cultivators	10
intercom systems	176
paraffin baths	5
low boys	5
total organic carbon analyzers	1
agitators	46
bar folders	2
titrators	10
signal generators	229
rivet guns	25
t birds	2
manure separators	1
packaging machines	52
novell groupwise	8
operations analysis	153
ez software	3
alidades	2
planswift software	1
mail sorting equipment	3
displacement transducers	7
"c "	1597
disk storage units	1
spss software	9
grinder machines	3
capillary tubes	1
adp ezlabormanager	2
weather stations	1
ngrep	1
smartphones	295
ambulances	2
switchboards	77
avid media composer	17
digital cameras	369
stuffing boxes	1
fire suppression systems	50
sonic cleaners	2
bentley microstation	94
wrist finger speed	1
refrigerated coolers	3
fire alarm systems	218
surveillance cameras	32
intercom equipment	1
warning horns	13
cadence pspice	2
parallel systems software	10
wrench pliers	6
notebook computers	22
hydraulic control systems	6
written expression	52
chipping hammers	1
food slicers	3
machine rollers	1
tin snips	2
videotape machines	1
bucket elevators	11
animation software	11
trivantis lectora	3
chemical injection systems	3
climbing hooks	2
wheelbarrows	8
auditory attention	3
enterprise content management ecm software	21
chemistry	12079
